herbivory_type,species,response,SE,df,lower.CL,upper.CL
sap_miner_herbivory,ACA_ROB,0.005844281659583105,0.0018232027268855874,364,0.0031615898799804364,0.010778693915515693
chew_herbivory,ACA_ROB,0.014921235167963471,0.003424407819716443,364,0.009489048187896563,0.023389748101487223
sap_miner_herbivory,EUC_RAC,0.01224515073967473,0.001976194510482883,364,0.008910233472559866,0.016807091936912738
chew_herbivory,EUC_RAC,0.02485203326423882,0.0033774787141433614,364,0.019007795026301802,0.03243376272775371
sap_miner_herbivory,GYM_HAR,0.011417945856483619,0.0017888758108827586,364,0.00838624949705175,0.015528461876302746
chew_herbivory,GYM_HAR,0.05377504851294396,0.0055552244212624825,364,0.043840560210885275,0.06580580637837058
sap_miner_herbivory,KRA_FLO,0.01261467209263182,0.002293388063395665,364,0.008816420124946794,0.018019522080821283
chew_herbivory,KRA_FLO,0.036146698759263685,0.005451815916993515,364,0.026829069328306462,0.04853890300655961
sap_miner_herbivory,SCU_MYR,0.013202045111984443,0.002379793454795767,364,0.009254784670391869,0.01880090467896693
chew_herbivory,SCU_MYR,0.0460963248542507,0.0064177389111008485,364,0.03499779833830124,0.0604937899468427
sap_miner_herbivory,SID_INE,0.02536178399003942,0.0055423580296936085,364,0.016467709250204948,0.038869634491803105
chew_herbivory,SID_INE,0.06360362838053349,0.00977666409823259,364,0.046878831117569984,0.08575839791177314
sap_miner_herbivory,SPI_AFR,0.013889880594700544,0.00338952284325924,364,0.00858387432900991,0.022401613372186747
chew_herbivory,SPI_AFR,0.013909375350809244,0.0034179900984162184,364,0.00856698357934581,0.02250766274387246
