habitat,species,emmean,SE,df,lower.CL,upper.CL
Forest,ACA_ROB,7.135639215665714,1.8495521799514836,444.50835701832494,3.50068631181198,10.770592119519447
Savanna,ACA_ROB,11.476480704749992,0.9274308942107149,388.1893566307467,9.653064501965652,13.299896907534333
Thicket,ACA_ROB,8.040480613499913,1.3078308886021413,437.2587774513229,5.470064418847947,10.610896808151878
Forest,EUC_RAC,8.985767279909066,0.9663249728104545,407.02773664143547,7.086156624564277,10.885377935253855
Savanna,EUC_RAC,4.556785645694918,0.42117983460183767,86.48630491182489,3.7195750039756845,5.393996287414151
Thicket,EUC_RAC,5.687193436547621,0.49449087301486483,159.88273579653494,4.710617182010679,6.663769691084563
Forest,GYM_HAR,6.5883665260588335,0.5566910531532506,169.02141917225993,5.4894034732891805,7.6873295788284866
Savanna,GYM_HAR,2.366564016923075,0.6335150217053894,240.10493715001843,1.1186070379322743,3.6145209959138755
Thicket,GYM_HAR,3.4284987689268265,0.5005287655601044,164.80995048779047,2.4402235159250094,4.416774021928644
Forest,KRA_FLO,13.322135444285752,0.8687474620132798,313.88523617394196,11.612830957185961,15.031439931385544
Savanna,KRA_FLO,11.236982000076921,0.5221227211838024,139.93392890564562,10.20471308301485,12.269250917138992
Thicket,KRA_FLO,11.737787422249998,0.6055134278947296,253.96682715654546,10.545320296811518,12.930254547688477
Forest,SCU_MYR,4.459435597333334,0.6539154443010757,289.78779328691064,3.1724097243185625,5.746461470348105
Savanna,SCU_MYR,4.459177802999998,0.5668109970284768,219.7280994959994,3.3420958746892113,5.576259731310786
Thicket,SCU_MYR,4.652023726133335,0.8278031701803013,371.2347810881854,3.0242524883772313,6.279794963889438
Forest,SID_INE,11.02281136399996,1.4407913760070588,429.0296986172827,8.1909233247373745,13.854699403262545
Savanna,SID_INE,13.081862361,0.7237069861733367,278.8866139481861,11.657240372753318,14.506484349246684
Thicket,SID_INE,11.469042183444447,0.7565222980725228,337.16917986164884,9.98094411621858,12.957140250670314
Forest,SPI_AFR,6.487267097249997,1.6035901124756937,441.9439390427287,3.3356572421941473,9.638876952305846
Savanna,SPI_AFR,3.256954109333332,1.0678394489753276,422.1123579678258,1.1580090391362767,5.355899179530388
Thicket,SPI_AFR,5.860661351291669,0.6542407576380161,287.49581326541414,4.572952150754411,7.148370551828927
