habitat,species,response,SE,df,lower.CL,upper.CL
Forest,ACA_ROB,0.006458837026950229,0.003238353711951319,364,0.002404016218146689,0.0172347119857433
Savanna,ACA_ROB,0.009646309561175159,0.0020318788979573617,364,0.006370152008169947,0.01458266079907836
Thicket,ACA_ROB,0.013259149848328702,0.0037708333621692463,364,0.007565987218838839,0.023136364691068095
Forest,EUC_RAC,0.015860345884035315,0.004065154535620114,364,0.009564355215172174,0.0261912416014654
Savanna,EUC_RAC,0.02544814616540394,0.003329502408096275,364,0.01965948237147557,0.03288408784826137
Thicket,EUC_RAC,0.016914987831001205,0.002469544406772842,364,0.012685365999709047,0.02252270151471564
Forest,GYM_HAR,0.027207034072525758,0.0040484808407619975,364,0.020282601952705308,0.03640760205132155
Savanna,GYM_HAR,0.023958040263096936,0.004256446847878598,364,0.016870882435745128,0.0339196689048507
Thicket,GYM_HAR,0.02413224032375363,0.003380681006155951,364,0.01830551328174704,0.03175364992499841
Forest,KRA_FLO,0.022990595798929887,0.005779753430310531,364,0.013988725807981389,0.03756455897908445
Savanna,KRA_FLO,0.030237729606131695,0.004755116533154548,364,0.02216447444507505,0.04112792836197237
Thicket,KRA_FLO,0.016137296664795613,0.0031428357023594814,364,0.01099103794602696,0.023635567868437957
Forest,SCU_MYR,0.01893022020500725,0.003629797348567246,364,0.012967854072560656,0.02755742798075531
Savanna,SCU_MYR,0.050512729814761556,0.007216642770605854,364,0.03806714110072552,0.06674492425968022
Thicket,SCU_MYR,0.016547070175947726,0.004101994042920093,364,0.010145215026495348,0.026878941489473635
Forest,SID_INE,0.07891844427730187,0.02245273849657473,364,0.04459340505046579,0.13590622110345116
Savanna,SID_INE,0.033309729923975975,0.006404775754409596,364,0.022772282513321643,0.048481280113180765
Thicket,SID_INE,0.027618548641420566,0.005255577973763898,364,0.018963415007817105,0.04006267163750995
Forest,SPI_AFR,0.022344802381427095,0.00768383275805587,364,0.011314947072308266,0.04365189025335115
Savanna,SPI_AFR,0.015569356715390979,0.005725524830762324,364,0.007529534550217127,0.03191778841802949
Thicket,SPI_AFR,0.008361029532727876,0.0017190053722373705,364,0.005577097206494045,0.012517131569060723
